"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\App.css", "CSS", 0, 0, 37, 0, 0, 6, 43
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\App.tsx", "TypeScript JSX", 0, 87, 0, 0, 6, 8, 101
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\AppRouter.tsx", "TypeScript JSX", 0, 48, 0, 0, 0, 5, 53
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\assets\auditaai-logo.svg", "XML", 0, 0, 0, 34, 8, 8, 50
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\assets\react.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\AgentReport.tsx", "TypeScript JSX", 0, 319, 0, 0, 12, 20, 351
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\AgentsList.tsx", "TypeScript JSX", 0, 101, 0, 0, 0, 8, 109
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\AgentsTable.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 6, 57
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\CallList.tsx", "TypeScript JSX", 0, 80, 0, 0, 0, 7, 87
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\Header.tsx", "TypeScript JSX", 0, 120, 0, 0, 9, 15, 144
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ItemEditModal.tsx", "TypeScript JSX", 0, 203, 0, 0, 8, 10, 221
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\KpiCard.tsx", "TypeScript JSX", 0, 33, 0, 0, 2, 7, 42
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\KpiCards.tsx", "TypeScript JSX", 0, 23, 0, 0, 0, 5, 28
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\MetricCard.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 5, 56
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\MonthlyChart.tsx", "TypeScript JSX", 0, 65, 0, 0, 0, 4, 69
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\PageHeader.tsx", "TypeScript JSX", 0, 90, 0, 0, 5, 9, 104
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\Placeholder.tsx", "TypeScript JSX", 0, 1, 0, 0, 0, 0, 1
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ProtectedRoute.tsx", "TypeScript JSX", 0, 25, 0, 0, 1, 7, 33
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\Sidebar.tsx", "TypeScript JSX", 0, 127, 0, 0, 8, 11, 146
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\TranscriptionModal.tsx", "TypeScript JSX", 0, 207, 0, 0, 9, 22, 238
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\TrendLineChart.tsx", "TypeScript JSX", 0, 19, 0, 0, 0, 4, 23
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\SummaryCard.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 4, 30
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 49, 0, 0, 0, 7, 56
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 126, 0, 0, 0, 14, 140
"c:\Users\wanderley.terra\Downloads\Pata backup\dashboard-relatorio-individual\src\components\ui\alert.tsx", "TypeScript JSX", 0, 53, 0, 0, 0, 7, 60
